"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"0d343bb279a1b4a1d2c0c006ca33084f04ed9916987f3a442d67f1802907e3fedf0554b40a8d877e9a0f4fa3485b9b83d8483d4c71fa92cf7fe7ca35f374ff35";"2023-09-22 12:42:00";"Microsoft anunció Copilot para Windows 11, un nuevo explorador de archivos y Paint con IA: cómo instalar la actualización";"https://www.clarin.com/tecnologia/microsoft-anuncio-copilot-windows-11-nuevo-explorador-archivos-paint-ia-instalar-actualizacion_0_BFonqodePx.html";"clarin.com";"Juan Brodersen";"Argentina";"es";"1365747";"10";"2"
"f58e0a2a2d1fcd6ca3c1eefe99cceecb474543922d35cbb1aabc861e92afd38d231629ec915d2df698a2d148c946b6b93f99286bf1f3810fc7c0350f91ef719a";"2023-09-21 11:34:00";"Windows 11 terá recurso para gerenciamento de passkeys";"https://canaltech.com.br/seguranca/windows-11-tera-recurso-para-gerenciamento-de-passkeys-264043/";"canaltech.com.br";"Guilherme Haas";"Brazil";"pt";"338531";"0";"2"
"6b53caa5b740e3a5ce4a2eac057e9e6afd30cf855b801ccbd12b23525ff5d6e40f656f3c8654e0b6a24d11385a3fec782035357519c92a66580c6f62b8310e0d";"2023-07-05 13:50:00";"Chatgpt afronta &quot;dificultades de crecimiento&quot; en junio";"https://www.lanacion.com.ar/agencias/chatgpt-afronta-quotdificultades-de-crecimientoquot-en-junio-nid05072023/";"lanacion.com.ar";"Krystal Hu";"Argentina";"es";"998020";"0";"2"
"151796472bf3835f00224926f9f52adb427f836634bb8c207a290e2dd665fd83552cbdd11caa8977cfb1015b00da21ccc1d6166339616f6b2e46af2a922cacc8";"2023-07-07 13:42:00";"GBM reconocida como ganadora de Microsoft 2023 Partner of the Year en la región";"https://revistasumma.com/gbm-reconocida-como-ganadora-de-microsoft-2023-partner-of-the-year-en-la-region/";"revistasumma.com";"unknown journalist";"Costa Rica";"es";"18996";"10";"2"
"bc663d118e5bbfda90122bc907add33f49b689b66ebad9ff0650281c5b1bbd9dd70919b2a97c1b0ced20d816799c50d25d874a341a3932a9afc2dcb5b4238ef8";"2023-07-04 13:40:48";"EE.UU. va a limitar el acceso de China a servicios en la nube como Amazon y Microsoft";"https://www.larepublica.co/globoeconomia/ee-uu-va-a-limitar-el-acceso-de-china-a-servicios-en-la-nube-como-amazon-y-microsoft-3650756";"larepublica.co";"Staff Writer";"Colombia";"es";"69642";"18";"2"
"6d531e5f3f052890c9d0f7dee6a66cfa5509bc299111597825bf5f040771330763dbf969a835f916b096f65abd095317e04978c99ebecd7bc3e31f0647da74cb";"2023-08-17 14:41:17";"Trabalho de ‘coach’ entra em ameaça com nova inteligência artificial do Google";"https://www.estadao.com.br/link/cultura-digital/inteligencia-artificial-coach-profissional-google/";"estadao.com.br";"Nico Grant";"Brazil";"pt";"597225";"8";"2"
"415a488b122e38d15284dfcc951b991e527d0d990644e6e10e9bd904aeb6d07c5856a1695bede14b6dd4eb0f0a9185b121b559945a0790698e1c61c6021b6573";"2023-08-02 10:23:00";"Inteligencia artificial: Meta lanzará chatbots con la 'personalidad' de celebridades y figuras históricas";"https://www.clarin.com/tecnologia/inteligencia-artificial-meta-lanzara-chatbots-personalidad-celebridades-figuras-historicas_0_gnXLAF5Zf4.html";"clarin.com";"unknown journalist";"Argentina";"es";"1365747";"20";"2"
"1ae83611d889aa1023b780dc1f34ffe5eac2fbb27c384edbb12d1f7088d32c17b19d17f6d6ce67fb6ed8ff2b8ae336e1a054dbb10bcd434de730a58a7a924f9d";"2023-07-05 09:20:00";"OpenAI deshabilita ‘Explorar con Bing’ de ChatGPT, que permitía acceder a información actualizada, porque saltaba muros de pago";"https://www.lanacion.com.ar/tecnologia/openai-deshabilita-explorar-con-bing-de-chatgpt-que-permitia-acceder-a-informacion-actualizada-nid05072023/";"lanacion.com.ar";"Journalist Unknown";"Argentina";"es";"998020";"1";"2"
"d2baeccb2d85c6e0a776003e784e8bfb061986518cfc6009468a2af56f3a833e3fb26e6b3f29fb05aa64df77ff91431615d7f39282c71e78e7c8ab38739a8b36";"2023-07-03 02:00:00";"Veja startups brasileiras que empregam IA em serviços e receberam aporte em 2023";"https://www1.folha.uol.com.br/tec/2023/07/veja-startups-brasileiras-que-empregam-ia-em-servicos-e-receberam-aporte-em-2023.shtml";"folha.uol.com.br";"Artur Búrigo";"Brazil";"pt";"518502";"3";"2"
"d2b06c0e3c066fc386d8a49cd23231ef325a9f2de10a0f48c1cd7892fefb5212eea6680c1e7f70bb04c45b98482e55c3dae889d093d2f8ba3683e5c72d610d5d";"2023-07-21 02:58:00";"Lenovo lança soluções para armazenamento e gerenciamento de dados";"https://inforchannel.com.br/2023/07/21/lenovo-lanca-solucoes-para-armazenamento-e-gerenciamento-de-dados/";"inforchannel.com.br";"Unknow Jornalist";"Brazil";"pt";"7442";"0";"2"
