"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"7744258b6252eb337f16f5024ba285ee4b1b31bc6c04f4b023b05239c0a9afff2730fedb395425762c94ffed4f3ca8d093b46e4aba9aa635ed74751ef947053b";"2023-10-03 00:29:52";"El Fin de Airbnb en Nueva York: Impacto en el Mercado de Alquileres";"https://www.diariolibre.com/planeta/columnistas/2023/10/02/el-fin-de-airbnb-en-nueva-york/2478428";"diariolibre.com";"Carlos Perez Tejada";"Dominican Republic";"es";"266708";"1";"2"
"0d77e9aab369ba7235b64a5b3fdc49f2313c59121b291151e83f94be08896837d5052e2946703123aeacbde844f331f325f5438867727833fbc7dcb04b17aca4";"2023-10-07 05:45:00";"Amazon lanza sus dos primeros satélites de prueba para suministrar Internet";"https://www.estrategiaynegocios.net/empresasymanagement/amazon-lanza-sus-dos-primeros-satelites-de-prueba-para-suministrar-internet-AF15677610";"estrategiaynegocios.net";"unknown journalist";"El Salvador";"es";"26019";"19";"2"
"4a493768ff591f6907153c26f8bb017497075a4322e39780f0ab8867338ba9aea58be0421dce74846dfd3a7ef95004f9a948abd6dc2df996483ec5ba23d0075f";"2023-08-05 09:17:26";"Las cinco empresas más grandes en tecnología aumentaron ganancias en 17% tras el impulso de la inteligencia artificial";"https://www.elnuevodia.com/tecnologia/otros/notas/las-cinco-empresas-mas-grandes-en-tecnologia-aumentaron-ganancias-en-17-tras-el-impulso-de-la-inteligencia-artificial/";"elnuevodia.com";"Cris F. Ortiz";"Puerto Rico";"es";"264700";"45";"2"
"0e625dd0bcebc3f71809079e4b58b2352c33507d8ed1ff5d014d2b2c971a9e0ed3feb9a5f26ced3b42a78980628c3ef6fc12cebf68d9d2b9378037c8d9407666";"2023-09-25 14:53:49";"Amazon invertirá hasta 4,000 millones de dólares en empresa de IA Anthropic";"https://www.diariolibre.com/usa/actualidad/2023/09/25/inversion-de-amazon-en-empresa-de-ia-anthropic/2471958";"diariolibre.com";"unknown journalist";"Dominican Republic";"es";"266708";"0";"2"
"37351ab3896cafaf1eb7b494d72eb9935d6d77a979f092f345797466e0dcbb2328bf35f26b6ae9bb12cfd1aea2a64dc3c842de98c8f93f711e88f45d7eac4eeb";"2023-08-14 22:01:24";"Amazon usa la inteligencia artificial para resumir las reseñas que los usuarios dejan sobre sus productos";"https://www.diariolibre.com/usa/actualidad/2023/08/14/amazon-usa-inteligencia-artificial-para-resenar-productos/2431529";"diariolibre.com";"unknown journalist";"Dominican Republic";"es";"266708";"0";"2"
"bf68c54d583cdefd9c8397221b3e6ee9b12bf74ab5498ad0a15956acfe7b4d99528c75c6c442771a76e3f759706458501eb51d6f75d89b8f568b83164f25270a";"2023-08-05 03:46:00";"Gigantes tecnológicos como Amazon, Google, Meta y Apple ganaron un 17 % tras el empuje de la IA";"https://listindiario.com/la-vida/tecnologia/20230805/gigantes-tecnologicos-amazon-google-meta-apple-ganaron-17-empuje-ia_766828.html";"listindiario.com";"unknown journalist";"Dominican Republic";"es";"699997";"1";"2"
"f6139f4a67cf3d42892e30d62233aea792fab1783d673de8a5be4ea0d35b698ab5ba3a4d29989f584415c440cbcea159694057f0f836c135f0e331d42e681dc5";"2023-09-25 00:11:00";"Amazon invierte hasta US$4.000 millones en la empresa de IA Anthropic";"https://www.estrategiaynegocios.net/empresasymanagement/amazon-invierte-hasta-us-4000-millones-en-la-empresa-de-ia-anthropic-CC15530516";"estrategiaynegocios.net";"unknown journalist";"El Salvador";"es";"26019";"21";"2"
"bb22ac52a4a313393165abdb2cae2130ad9a27df51d6e2fcb484b0bba4da08205a3ca2ec43b42016452b033ef44ce542f1fddecf4d08660f0f4de1ba0cecbb7a";"2023-07-20 17:29:38";"Cadena de supermercados de Amazon habilitará pago con la palma de la mano en EU";"https://www.noticel.com/tecno/20230720/cadena-de-supermercados-de-amazon-habilitara-pago-con-la-palma-de-la-mano-en-eu/";"noticel.com";"unknown journalist";"Puerto Rico";"es";"25960";"0";"2"
"406dfd3c19b213d45e173260ee6c730c1791eaf0cf9411fe8bb29d2ebe6cfb998f764779bf1da87feab787a0cfffed2e571a7d0b5755b1283ae66338de154ab8";"2023-09-19 16:55:16";"Telemundo Puerto Rico se podrá ver en Roku y Amazon Fire";"https://www.metro.pr/entretenimiento/2023/09/19/telemundo-puerto-rico-se-podra-ver-en-roku-y-amazon-fire/";"metro.pr";"unknown journalist";"Puerto Rico";"es";"41067";"306";"2"
"a6239b58f7292de83abb74a17a580cc4f46fe76d65364cfdf18e23fe24d6940e894d46d90fcfa34240302e14b9305b037801856da12ade99bcc331c8235ae0b0";"2023-09-25 05:42:00";"Amazon apuesta por la inteligencia artificial";"https://www.elvocero.com/economia/amazon-apuesta-por-la-inteligencia-artificial/article_2d379ce4-5bba-11ee-a313-0bcf15f24078.html";"elvocero.com";"unknown journalist";"Puerto Rico";"es";"49006";"19";"2"
